authorName
 আভিজার টাকার
 এম সিভারামকৃষ্ণ
 মেগান ম্যাকডোনাল্ড
 রুপার্ট শেলড্রেক
 (أبو الطيب أحمد بن حسين الجعفي المتنبي )(আবু তাইয়েব আহমাদ বিন হুসাইন জুফী মুতানাব্বী)
 Caryn R. Johnson 
 Dilip kumar Gangopadhyay
 Marie-Christine Béné
 حكيم الامت مولانا اشرف علي تهانوي رح ( হাকীমুল উম্মত মাওলানা আশরাফ আলী থানভী রহ.)
 مفتي محمد رفيع عثماني مد ظله (মুফতী মুহাম্মাদ রাফী উসমানী দা. বা.)
 অউরালী ওয়াল্লাস
 অংকুশ স্যাম তরপ
 অদা মনসিরিএফ
 অধ্যক্ষ এ. কে. এম. জহুরুল হক
 অনিরুদ্ধ রায়
 অন্ন নাপোলিতানো
 অভিজিৎ দে
 অমিত কুমার মিশ্র
 অরণ্যমন প্রকাশনী
 অলিভা দাক্ষী
 অ্যান লেথব্রিজ
 অ্যানা সিলিস্টা অলিভেইরা
 অ্যানি উড ভেসান্ট
 অ্যান্ডি উইয়ার
 অ্যান্ড্রু হান্ট
 অ্যামি মরিন
 অ্যালিস ওজম্যান
 অ্যালেন হারপার
 আকিকুর রহমান তালুকদার 
 আজিজ সাফিই জারগানি
 আতাউর রহমান মজুমদার
 আনোয়ারুল হক
 আন্ড্রেস রল
 আফরোজা ডেইজী
 আবদুর রহমান বাউল
 আবদুল্লাহ আল মামুন
 আবদুল্লাহ্ আল মামুন (জগন্নাথ ইউনিভার্সিটি)
 আবুল বারাকাত আবদুল্লাহ বিন আহমাদ বিন মাহমুদ নাসাফী
 আবুল হায়াত ইসমাইল
 আব্রাহাম ফিশার
 আভা সরকার মন্ডল
 আমিনুল ইসলাম (থ্রিলার ও অ্যাডভেঞ্চার)
 আশফাক কাজী আজিজ
 ইকবাল হাসান মাহমুদ
 ইমরান হাসান (কথাসাহিত্যিক)
 ইয়াছিন আরাফাত
 ইয়োশিকাজু কাওয়াকামি
 উইলা ক্যাথার
 উত্তম চক্রবর্তী
 উম্মে হাবীবা সূচনা 
 এ উইমার
 এ কে শেরাম
